Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
hasAlertOrWarningHistory,Object Property,,,LanslideArea,HeatwaveAlertOrWarningHistory,exactly 1,A relationship between a Heatwave Area and its collection of previous Heatwave warnings and alerts.,http://www.theworldavatar.com/kg/ontoHeatwave,has historical warning
https://www.theworldavatar.com/kg/ontotimeseries/hasTimeSeries,Object Property,,,HeatwaveAlertOrWarningHistory,https://www.theworldavatar.com/kg/ontotimeseries/TimeSeries,exactly 1,A relationship between the collection of previous Heatwave warnings and alerts and their actual time series history.,https://www.theworldavatar.com/kg/ontotimeseries/,has time series
Severity,Class,,,,,,The potential impact of the Heatwave associated with a Heatwave warning/alert.,http://www.theworldavatar.com/kg/ontoHeatwave,Severity
HeatwaveAlert,Class,Severity,IS-A,,,,Heatwave alert/warning indicating that Heatwave is possible (i.e. one should be prepared).,http://www.theworldavatar.com/kg/ontoHeatwave,Heatwave alert
HeatwaveWarning,Class,Severity,IS-A,,,,Heatwave alert/warning indicating that Heatwave is expected (i.e. immediate action required).,http://www.theworldavatar.com/kg/ontoHeatwave,Heatwave warning
InactiveHeatwaveWarning,Class,Severity,IS-A,,,,Heatwave alert/warning indicating that the Heatwave warning is no longer active.,http://www.theworldavatar.com/kg/ontoHeatwave,Inactive Heatwave Warning
SevereHeatwaveWarning,Class,Severity,IS-A,,,,Heatwave alert/warning indicating that severe Heatwave is expected (i.e. danger to life).,http://www.theworldavatar.com/kg/ontoHeatwave,Severe Heatwave warning
hasSeverity,Object Property,,,HeatwaveAlertOrWarning,Severity,exactly 1,A relationship between a Heatwave Alert/Warning and its severity.,http://www.theworldavatar.com/kg/ontoHeatwave,has severity
HeatwaveForecast,Class,,,,,,A forecast of Heatwave risk providing the indication of potential landsliding a few days into the future.,http://www.theworldavatar.com/kg/ontoHeatwave,Heatwave forecast
RiskLevel,Class,,,,,,A measure of hazard potential defined by expected likelihood and forecasted impact.,http://www.theworldavatar.com/kg/ontoHeatwave,Risk level
Likelihood,Class,,,,,,The probability of a forecasted Heatwave event.,http://www.theworldavatar.com/kg/ontoHeatwave,Likelihood
PotentialImpact,Class,,,,,,The potential impacts of a forecasted Heatwave event.,http://www.theworldavatar.com/kg/ontoHeatwave,Potential impact
HeatwaveForecastModel,Class,,,,,,"A computational model that predicts potential Heatwave events based on Heatwave, meteorological, and geographic data.",http://www.theworldavatar.com/kg/ontoHeatwave,Heatwave Forecast Model
isGeneratedBasedOn,Object Property,,,HeatwaveAlertOrWarning,HeatwaveForecast,,An object property that specifies that a Heatwave alert or warning is generated based on heatwave forecast,http://www.theworldavatar.com/kg/ontoHeatwave,is Based On Dataset
hasRiskLevel,Object Property,,,HeatwaveForecast,RiskLevel,exactly 1,A relationship between a Heatwave forecast and its anticipated risk.,http://www.theworldavatar.com/kg/ontoHeatwave,has risk level
hasLikelihood,Object Property,,,RiskLevel,Likelihood,exactly 1,A relationship between a risk level and the underlying likelihood.,http://www.theworldavatar.com/kg/ontoHeatwave,has likelihood
hasPotentialImpact,Object Property,,,RiskLevel,PotentialImpact,exactly 1,A relationship between a risk level and the underlying impact potential.,http://www.theworldavatar.com/kg/ontoHeatwave,has potential impact
warnsAbout,Object Property,,,HeatwaveAlertOrWarning,Heatwave,exactly 1,A relationship between a Heatwave Alert/Warning and the actual Heatwave event it refers to.,http://www.theworldavatar.com/kg/ontoHeatwave,warns about
isBasedOnDataset,Object Property,,some,HeatwaveForecastModel,HeatwaveDataset UNION MeteorologicalDataset,,"A computational model that predicts potential Heatwave events based on Heatwave, meteorological, and geographic data.",http://www.theworldavatar.com/kg/ontoHeatwave,is Based On
hasLocation,Object Property,,,http://sweetontology.net/phen/Event UNION HeatwaveForecast UNION HeatwaveArea,Location,exactly 1,A relationship between a (forecasted) event and its geospatial location.,http://www.theworldavatar.com/kg/ontoHeatwave,has location
HeatwaveDataset,Class,,,,,,A collection of structured data related to past and predicted Heatwave events,http://www.theworldavatar.com/kg/ontoHeatwave,Heatwave Dataset
MeteorologicalDataset,Class,,,,,,A dataset containing weather-related data.,http://www.theworldavatar.com/kg/ontoHeatwave,Meteorological Dataset
Dataset,Class,,,,,,"A structured collection of related data points used for analysis, modeling, or decision-making.",http://www.theworldavatar.com/kg/ontoHeatwave,Dataset
Property,Class,,,,,,A measurable characteristic or attribute of an entity.,http://www.theworldavatar.com/kg/ontoHeatwave,Property
FeatureOfInterest,Class,,,,,,"A geographic or environmental entity, that is being observed or analyzed.",http://www.theworldavatar.com/kg/ontoHeatwave,Feature Of Interest
Measurement,Class,,,,,,"A recorded value representing a property of a feature of interest, obtained through observation or sensors.",http://www.theworldavatar.com/kg/ontoHeatwave,Measurement
http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,Measure
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,Class,,,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,Unit
Sensor,Class,,,,,,A device that detects and records environmental data for Heatwave monitoring.,http://www.theworldavatar.com/kg/ontoHeatwave,Sensor
Interval,Class,,,,,,A defined time period over which measurements or observations are aggregated or analyzed.,http://www.theworldavatar.com/kg/ontoHeatwave,Interval
http://www.ontology-of-units-of-measure.org/resource/om-2/hasNumericalValue,Data Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,float,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,has numerical value
http://www.ontology-of-units-of-measure.org/resource/om-2/hasUnit,Object Property,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,,,http://www.ontology-of-units-of-measure.org/resource/om-2/,has unit
hasMeasurementInterval,Object Property,,,Property,Interval,,An object property that associates a property with a specific time interval during which measurements are taken.,http://www.theworldavatar.com/kg/ontoHeatwave,has Measurement Interval
isMeasuredBy,Object Property,,,Property,Sensor,,An object property that links a property to the sensor responsible for measuring it.,http://www.theworldavatar.com/kg/ontoHeatwave,is Measured By
hasMeasurement,Object Property,,,Property,Measurement,,An object property that connects a property to the corresponding measurement data.,http://www.theworldavatar.com/kg/ontoHeatwave,has Measurement
containsProperty,Object Property,,,Dataset,Property,,An object property that indicates that a HeatwaveDataset contains a specific property related to Heatwave measurements.,http://www.theworldavatar.com/kg/ontoHeatwave,contains Property
hasValue,Object Property,,,Measurement,http://www.ontology-of-units-of-measure.org/resource/om-2/Measure,,,http://www.theworldavatar.com/kg/ontoHeatwave,has value
measurementStarttime,Data Property,,,Property,dateTime,,A data property that defines the starting time of a measurement event.,http://www.theworldavatar.com/kg/ontoHeatwave,measurement Starttime
measurementEndtime,Data Property,,,Property,dateTime,,A data property that defines the ending time of a measurement event.,http://www.theworldavatar.com/kg/ontoHeatwave,measurement Endtime
generates,Object Property,,,HeatwaveForecastModel,HeatwaveForecast,,Heatwave forecast model generates forecast,http://www.theworldavatar.com/kg/ontoHeatwave,generates
Location,Class,,,,,,The geographical position where an event or entity is situated.,http://www.theworldavatar.com/kg/ontoHeatwave,Location
HeatwaveHistory,Class,,,,,,A record of past Heatwaves including relevant data and time series.,http://www.theworldavatar.com/kg/ontoHeatwave,Heatwave History
TimeSeries,Class,,,,,,A sequence of data points measured at successive time intervals.,http://www.theworldavatar.com/kg/ontoHeatwave,Time Series
ShapeFile,Class,Location,IS-A,,,,"A digital vector storage format for storing the location, shape, and attributes of geographic features.",http://www.theworldavatar.com/kg/ontoHeatwave,Shape File
http://www.opengis.net/ont/geosparql#Geometry,Class,Location,IS-A,,,,,http://www.opengis.net/ont/geosparql#,Geometry
Organization,Class,ShapeFile,IS-A,,,,"An entity that produces data, reports, or manages resources related to Heatwave events.",http://www.theworldavatar.com/kg/ontoHeatwave,Organization
FileUrl,Class,ShapeFile,IS-A,,,,A URL link that points to a file containing relevant information or data.,http://www.theworldavatar.com/kg/ontoHeatwave,File Url
occurredIn,Object Property,,,Heatwave,Location,,Links an Heatwave occurrence to the location where it took place,http://www.theworldavatar.com/kg/ontoHeatwave,occurred In
hasLocation,Object Property,,,http://sweetontology.net/phen/Event,Location,,Links an event to the geographic location where it occurred.,http://www.theworldavatar.com/kg/ontoHeatwave,has Location
hasHeatwaveHistory,Object Property,,,Location,HeatwaveHistory,,Connects a location to its associated Heatwave history.,http://www.theworldavatar.com/kg/ontoHeatwave,has Heatwave History
hasTimeSeries,Object Property,,,HeatwaveHistory,TimeSeries,,Associates Heatwave history with a time series of data points.,http://www.theworldavatar.com/kg/ontoHeatwave,has Time Series
hasShapeFile,Object Property,,,Location,ShapeFile,,Refers to the shapefile associated with a specific location.,http://www.theworldavatar.com/kg/ontoHeatwave,has Shape File
hasGeometry,Object Property,,,Location,http://www.opengis.net/ont/geosparql#Geometry,,Indicates the geometric representation of a location.,http://www.theworldavatar.com/kg/ontoHeatwave,has Geometry
isProducedBy,Object Property,,,ShapeFile,Organization,,Identifies the organization that produced a shapefile.,http://www.theworldavatar.com/kg/ontoHeatwave,is Produced By
hasFileUrl,Object Property,,,ShapeFile,FileUrl,,Points to the URL of the shapefile.,http://www.theworldavatar.com/kg/ontoHeatwave,has File Url
hasAltitude,,,,Location,double,,"This property represents the altitude of a specific location, expressed as a floating-point number.",http://www.theworldavatar.com/kg/ontoHeatwave,has Altitude
hasLat,Data Property,,,Location,double,,"This property represents the latitude coordinate of a specific Heatwave location, expressed as a floating-point number.",http://www.theworldavatar.com/kg/ontoHeatwave,has Lat
hasLon,Data Property,,,Location,double,,"This property represents the longitude coordinate of a specific Heatwave location, expressed as a floating-point number.",http://www.theworldavatar.com/kg/ontoHeatwave,has Lon
lastUpdateOn,Data Property,,,ShapeFile,date time,,This property represents the timestamp of the most recent update related to the Heatwave situation.,http://www.theworldavatar.com/kg/ontoHeatwave,last Update On
